Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	4,5E+2	0	7,0E+7	0	0,0	0	0,1	0	0,2	0	0,8	0	1,8	0	0,2	0	0,3	0	0,1	0	0,1	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,3	0	0,1	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	NaN	0	1,9	
1	4,6E+2	1	7,0E+7	1	0,0	1	0,1	1	0,2	1	0,8	1	2,2	1	0,4	1	0,1	1	0,2	1	0,2	1	0,0	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,3	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	2,1	
2	4,6E+2	2	7,1E+7	2	0,0	2	0,1	2	0,2	2	0,8	2	1,9	2	0,3	2	0,2	2	0,1	2	0,1	2	0,0	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,3	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	1,9	
3	4,7E+2	3	7,0E+7	3	0,0	3	0,1	3	0,2	3	0,8	3	1,8	3	0,3	3	0,2	3	0,2	3	0,1	3	0,0	3	0,0	3	0,1	3	0,0	3	0,0	3	0,0	3	0,3	3	0,1	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	10,7	
4	4,9E+2	4	7,3E+7	4	0,0	4	0,1	4	0,2	4	1,1	4	3,9	4	2,7E+2	4	4,2E+2	4	26,8	4	0,7	4	0,1	4	1,5	4	0,6	4	0,0	4	0,0	4	0,0	4	2,0	4	0,0	4	30,2	4	0,0	4	0,0	4	0,0	4	0,0	4	0,1	4	0,0	4	0,0	4	0,0	4	NaN	4	2,7	
5	4,5E+2	5	7,3E+7	5	0,0	5	0,1	5	0,2	5	0,9	5	2,3	5	1,5E+2	5	3,0E+2	5	20,6	5	0,6	5	0,1	5	1,4	5	5,3	5	0,0	5	0,0	5	0,0	5	1,5	5	0,1	5	26,0	5	0,1	5	0,0	5	0,0	5	0,0	5	0,1	5	0,0	5	0,0	5	0,0	5	NaN	5	2,3	
6	4,7E+2	6	7,2E+7	6	0,0	6	0,1	6	0,2	6	0,9	6	2,5	6	1,4E+2	6	2,7E+2	6	17,9	6	0,7	6	0,2	6	1,2	6	8,6	6	0,0	6	0,0	6	0,0	6	1,2	6	0,1	6	23,3	6	0,1	6	0,0	6	0,0	6	0,0	6	0,1	6	0,0	6	0,0	6	0,0	6	NaN	6	1,8	
7	4,7E+2	7	7,1E+7	7	0,0	7	0,1	7	0,2	7	0,9	7	2,3	7	1,3E+2	7	2,6E+2	7	16,7	7	0,5	7	0,2	7	1,3	7	10,6	7	0,0	7	0,0	7	0,0	7	1,2	7	0,1	7	22,4	7	0,1	7	0,0	7	0,0	7	0,0	7	0,1	7	0,0	7	0,0	7	0,0	7	NaN	7	1,8	
8	4,6E+2	8	7,2E+7	8	0,0	8	0,1	8	0,2	8	0,9	8	2,2	8	1,2E+2	8	2,5E+2	8	16,3	8	0,4	8	0,1	8	1,1	8	10,4	8	0,0	8	0,0	8	0,0	8	1,5	8	0,1	8	21,7	8	0,1	8	0,0	8	0,1	8	0,0	8	0,1	8	0,0	8	0,0	8	0,0	8	NaN	8	2,1	
9	4,7E+2	9	7,2E+7	9	0,0	9	0,1	9	0,2	9	0,9	9	2,0	9	1,2E+2	9	2,3E+2	9	16,9	9	0,5	9	0,2	9	1,0	9	10,7	9	0,0	9	0,0	9	0,0	9	1,3	9	0,0	9	20,4	9	0,2	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	NaN	9	2,4	
10	4,5E+2	10	7,2E+7	10	0,0	10	0,1	10	0,2	10	0,9	10	2,6	10	1,1E+2	10	2,2E+2	10	15,8	10	0,4	10	0,1	10	0,9	10	11,3	10	0,0	10	0,0	10	0,0	10	1,2	10	0,1	10	19,2	10	0,2	10	0,0	10	0,1	10	0,0	10	0,1	10	0,0	10	0,0	10	0,0	10	NaN	10	2,2	
11	4,8E+2	11	7,1E+7	11	0,0	11	0,1	11	0,2	11	0,9	11	2,2	11	1,1E+2	11	2,2E+2	11	15,6	11	0,3	11	0,2	11	0,9	11	11,3	11	0,0	11	0,0	11	0,0	11	0,9	11	0,1	11	19,9	11	0,2	11	0,0	11	0,1	11	0,0	11	0,1	11	0,0	11	0,0	11	0,0	11	NaN	11	2,1	
12	4,6E+2	12	7,3E+7	12	0,0	12	0,1	12	0,2	12	0,9	12	2,0	12	1,1E+2	12	2,1E+2	12	15,8	12	0,4	12	0,1	12	0,8	12	11,3	12	0,0	12	0,0	12	0,0	12	1,1	12	0,1	12	19,2	12	0,2	12	0,0	12	0,1	12	0,0	12	0,1	12	0,0	12	0,0	12	0,0	12	NaN	12	1,8	
13	4,6E+2	13	7,3E+7	13	0,0	13	0,1	13	0,2	13	0,9	13	2,3	13	1,0E+2	13	2,0E+2	13	15,0	13	0,5	13	0,2	13	0,8	13	11,1	13	0,0	13	0,0	13	0,0	13	1,1	13	0,0	13	17,4	13	0,1	13	0,1	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	NaN	13	2,1	
14	4,5E+2	14	7,3E+7	14	0,0	14	0,1	14	0,2	14	0,9	14	2,2	14	1,0E+2	14	2,0E+2	14	14,0	14	0,4	14	0,1	14	0,9	14	11,7	14	0,0	14	0,0	14	0,0	14	1,0	14	0,1	14	17,5	14	0,1	14	0,1	14	0,1	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	NaN	14	1,8	
15	4,5E+2	15	7,4E+7	15	0,0	15	0,1	15	0,2	15	0,9	15	2,0	15	1,0E+2	15	1,9E+2	15	13,4	15	0,5	15	0,3	15	0,9	15	11,1	15	0,0	15	0,0	15	0,0	15	1,1	15	0,1	15	16,2	15	0,1	15	0,0	15	0,0	15	0,0	15	0,1	15	0,0	15	0,0	15	0,0	15	NaN	15	1,9	
16	4,6E+2	16	7,4E+7	16	0,0	16	0,1	16	0,2	16	0,9	16	1,9	16	96,4	16	1,8E+2	16	13,8	16	0,5	16	0,2	16	0,8	16	12,0	16	0,0	16	0,0	16	0,0	16	1,1	16	0,0	16	15,8	16	0,2	16	0,0	16	0,1	16	0,0	16	0,1	16	0,0	16	0,0	16	0,0	16	NaN	16	2,1	
17	4,6E+2	17	7,4E+7	17	0,0	17	0,1	17	0,2	17	0,8	17	1,7	17	95,5	17	1,8E+2	17	14,3	17	0,5	17	0,1	17	0,7	17	11,2	17	0,0	17	0,0	17	0,0	17	1,0	17	0,1	17	16,0	17	0,1	17	0,0	17	0,1	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	NaN	17	2,1	
18	4,7E+2	18	7,3E+7	18	0,0	18	0,1	18	0,2	18	0,9	18	1,9	18	94,9	18	1,8E+2	18	14,4	18	0,5	18	0,1	18	0,8	18	11,6	18	0,0	18	0,0	18	0,0	18	0,8	18	0,1	18	15,8	18	0,1	18	0,0	18	0,1	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	Inf	18	2,3	
19	4,7E+2	19	7,1E+7	19	0,0	19	0,1	19	0,2	19	0,9	19	2,3	19	96,3	19	1,8E+2	19	14,1	19	0,5	19	0,2	19	0,9	19	11,2	19	0,0	19	0,0	19	0,0	19	1,1	19	0,1	19	15,9	19	0,1	19	0,0	19	0,1	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	NaN	19	2,0	
20	4,6E+2	20	7,4E+7	20	0,0	20	0,1	20	0,2	20	0,9	20	1,9	20	94,6	20	1,7E+2	20	13,7	20	0,4	20	0,2	20	0,7	20	11,3	20	0,0	20	0,0	20	0,0	20	1,0	20	0,0	20	15,5	20	0,1	20	0,0	20	0,1	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	NaN	20	1,6	
21	4,7E+2	21	7,2E+7	21	0,0	21	0,1	21	0,2	21	0,9	21	1,6	21	94,2	21	1,7E+2	21	14,5	21	0,4	21	0,2	21	0,6	21	11,3	21	0,0	21	0,0	21	0,0	21	0,9	21	0,1	21	14,4	21	0,1	21	0,0	21	0,1	21	0,0	21	0,0	21	0,0	21	0,0	21	0,0	21	NaN	21	2,3	
22	4,7E+2	22	7,3E+7	22	0,0	22	0,1	22	0,2	22	0,9	22	1,9	22	91,5	22	1,7E+2	22	14,0	22	0,4	22	0,3	22	0,7	22	10,8	22	0,0	22	0,0	22	0,0	22	0,8	22	0,1	22	15,1	22	0,1	22	0,0	22	0,1	22	0,0	22	0,0	22	0,0	22	0,0	22	0,0	22	NaN	22	2,0	
23	4,4E+2	23	7,5E+7	23	0,0	23	0,1	23	0,2	23	0,8	23	1,7	23	89,9	23	1,6E+2	23	13,4	23	0,5	23	0,2	23	0,7	23	11,2	23	0,0	23	0,0	23	0,0	23	1,0	23	0,1	23	13,5	23	0,1	23	0,0	23	0,1	23	0,0	23	0,0	23	0,0	23	0,0	23	0,0	23	NaN	23	2,1	
24	4,4E+2	24	7,5E+7	24	0,0	24	0,1	24	0,2	24	0,9	24	1,7	24	94,8	24	1,7E+2	24	14,1	24	0,4	24	0,2	24	0,8	24	10,8	24	0,0	24	0,0	24	0,0	24	0,9	24	0,1	24	14,9	24	0,1	24	0,0	24	0,1	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	NaN	24	2,3	
25	4,7E+2	25	7,2E+7	25	0,0	25	0,1	25	0,2	25	0,9	25	2,1	25	96,5	25	1,7E+2	25	14,0	25	0,5	25	0,2	25	0,8	25	11,8	25	0,0	25	0,0	25	0,0	25	0,9	25	0,0	25	15,6	25	0,1	25	0,0	25	0,1	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	NaN	25	2,1	
26	4,6E+2	26	7,3E+7	26	0,0	26	0,1	26	0,2	26	1,4	26	21,3	26	58,2	26	1,4E+2	26	8,8	26	0,7	26	0,2	26	2,1	26	13,4	26	0,0	26	0,0	26	0,0	26	2,2	26	0,1	26	38,6	26	0,1	26	0,0	26	0,1	26	0,0	26	0,1	26	0,0	26	0,0	26	0,0	26	NaN	26	5,2	
27	4,6E+2	27	7,5E+7	27	0,0	27	0,1	27	0,2	27	1,1	27	3,3	27	1,1E+2	27	3,3E+2	27	7,7	27	0,9	27	0,2	27	2,7	27	11,5	27	0,0	27	0,0	27	0,0	27	1,4	27	0,1	27	26,9	27	0,1	27	0,1	27	0,1	27	0,0	27	0,1	27	0,0	27	0,0	27	0,0	27	NaN	27	2,2	
28	4,6E+2	28	7,4E+7	28	0,0	28	0,1	28	0,2	28	1,0	28	2,2	28	89,2	28	2,9E+2	28	6,2	28	0,5	28	0,2	28	2,4	28	12,5	28	0,0	28	0,0	28	0,0	28	1,3	28	0,1	28	25,2	28	0,1	28	0,1	28	0,1	28	0,0	28	0,1	28	0,0	28	0,0	28	0,0	28	NaN	28	2,5	
29	4,5E+2	29	7,7E+7	29	0,0	29	0,1	29	0,2	29	0,9	29	2,1	29	81,0	29	2,6E+2	29	6,7	29	0,6	29	0,1	29	2,2	29	12,6	29	0,0	29	0,0	29	0,0	29	1,2	29	0,0	29	22,7	29	0,2	29	0,0	29	0,1	29	0,0	29	0,1	29	0,0	29	0,0	29	0,0	29	NaN	29	2,3	
30	4,7E+2	30	7,3E+7	30	0,0	30	0,1	30	0,2	30	1,0	30	2,7	30	81,1	30	2,6E+2	30	6,1	30	0,5	30	0,2	30	2,2	30	13,7	30	0,0	30	0,0	30	0,0	30	1,1	30	0,1	30	22,9	30	0,2	30	0,0	30	0,0	30	0,0	30	0,1	30	0,0	30	0,0	30	0,0	30	NaN	30	2,1	
31	4,4E+2	31	7,6E+7	31	0,0	31	0,1	31	0,2	31	0,9	31	1,8	31	71,5	31	2,3E+2	31	5,6	31	0,4	31	0,1	31	1,8	31	11,9	31	0,0	31	0,0	31	0,0	31	1,1	31	0,1	31	19,9	31	0,1	31	0,0	31	0,1	31	0,0	31	0,1	31	0,0	31	0,0	31	0,0	31	NaN	31	2,0	
32	4,5E+2	32	7,6E+7	32	0,0	32	0,1	32	0,2	32	0,9	32	2,3	32	69,7	32	2,2E+2	32	5,4	32	0,6	32	0,1	32	1,9	32	12,8	32	0,0	32	0,0	32	0,0	32	1,1	32	0,1	32	19,0	32	0,2	32	0,1	32	0,1	32	0,0	32	0,1	32	0,0	32	0,0	32	0,0	32	NaN	32	2,3	
33	4,4E+2	33	7,6E+7	33	0,0	33	0,1	33	0,2	33	0,9	33	2,2	33	64,1	33	2,1E+2	33	5,1	33	0,5	33	0,1	33	1,8	33	12,6	33	0,0	33	0,0	33	0,0	33	1,0	33	0,1	33	18,8	33	0,2	33	0,0	33	0,1	33	0,0	33	0,0	33	0,0	33	0,0	33	0,0	33	NaN	33	2,3	
34	4,5E+2	34	7,5E+7	34	0,0	34	0,1	34	0,2	34	0,9	34	2,2	34	61,5	34	2,1E+2	34	4,5	34	0,5	34	0,2	34	1,5	34	11,3	34	0,0	34	0,0	34	0,0	34	1,2	34	0,1	34	18,3	34	0,2	34	0,0	34	0,1	34	0,0	34	0,1	34	0,0	34	0,0	34	0,0	34	NaN	34	2,4	
35	4,5E+2	35	7,4E+7	35	0,0	35	0,1	35	0,2	35	0,9	35	2,0	35	61,2	35	2,0E+2	35	4,5	35	0,4	35	0,2	35	1,6	35	12,2	35	0,0	35	0,0	35	0,0	35	1,1	35	0,1	35	17,6	35	0,1	35	0,0	35	0,1	35	0,0	35	0,1	35	0,0	35	0,0	35	0,0	35	NaN	35	2,1	
36	4,6E+2	36	7,5E+7	36	0,0	36	0,1	36	0,2	36	0,9	36	2,2	36	57,7	36	1,9E+2	36	4,4	36	0,5	36	0,1	36	1,7	36	11,7	36	0,0	36	0,0	36	0,0	36	1,0	36	0,1	36	16,4	36	0,1	36	0,1	36	0,1	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	NaN	36	2,2	
37	4,5E+2	37	7,5E+7	37	0,0	37	0,1	37	0,2	37	0,9	37	2,0	37	56,1	37	1,9E+2	37	4,5	37	0,6	37	0,2	37	1,6	37	11,3	37	0,0	37	0,0	37	0,0	37	0,8	37	0,1	37	16,0	37	0,2	37	0,0	37	0,1	37	0,0	37	0,1	37	0,0	37	0,0	37	0,0	37	NaN	37	2,1	
38	4,5E+2	38	7,5E+7	38	0,0	38	0,1	38	0,2	38	0,9	38	2,3	38	55,3	38	1,9E+2	38	4,4	38	0,5	38	0,2	38	1,5	38	11,2	38	0,0	38	0,0	38	0,0	38	0,9	38	0,0	38	15,0	38	0,1	38	0,0	38	0,1	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	NaN	38	1,9	
39	4,4E+2	39	7,5E+7	39	0,0	39	0,1	39	0,2	39	0,9	39	2,2	39	53,0	39	1,8E+2	39	3,8	39	0,4	39	0,2	39	1,5	39	10,7	39	0,0	39	0,0	39	0,0	39	1,0	39	0,0	39	15,6	39	0,2	39	0,0	39	0,1	39	0,0	39	0,0	39	0,0	39	0,0	39	0,0	39	NaN	39	2,4	
