Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	7,9E+2	0	6,8E+7	0	0,0	0	0,1	0	0,2	0	1,0	0	2,6	0	0,3	0	0,1	0	0,3	0	0,2	0	0,0	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,6	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	Inf	0	2,6	
1	8,2E+2	1	7,0E+7	1	0,0	1	0,1	1	0,2	1	0,9	1	2,3	1	0,2	1	0,1	1	0,2	1	0,2	1	0,1	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,5	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	2,5	
2	8,2E+2	2	6,9E+7	2	0,0	2	0,1	2	0,2	2	1,0	2	2,6	2	0,3	2	0,2	2	0,3	2	0,2	2	0,1	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,4	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	2,3	
3	8,1E+2	3	7,1E+7	3	0,0	3	0,1	3	0,2	3	0,9	3	2,4	3	0,3	3	0,2	3	0,2	3	0,1	3	0,0	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,2	3	0,2	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	2,2	
4	7,9E+2	4	7,0E+7	4	0,0	4	0,1	4	0,2	4	0,9	4	2,4	4	0,4	4	0,1	4	0,1	4	0,1	4	0,0	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,3	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	NaN	4	2,4	
5	7,9E+2	5	7,0E+7	5	0,0	5	0,1	5	0,2	5	0,9	5	2,5	5	0,4	5	0,1	5	0,3	5	0,1	5	0,1	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,4	5	0,2	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	NaN	5	7,9	
6	8,0E+2	6	7,1E+7	6	0,0	6	0,1	6	0,2	6	1,5	6	6,1	6	73,6	6	43,5	6	0,4	6	0,2	6	0,0	6	0,3	6	0,1	6	0,0	6	0,0	6	0,0	6	0,8	6	0,1	6	3,8	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	NaN	6	2,9	
7	8,0E+2	7	7,1E+7	7	0,0	7	0,1	7	0,2	7	1,1	7	2,5	7	54,9	7	40,9	7	0,3	7	0,1	7	0,0	7	0,3	7	1,3	7	0,0	7	0,0	7	0,0	7	0,6	7	0,0	7	3,5	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	NaN	7	2,4	
8	7,7E+2	8	7,2E+7	8	0,0	8	0,1	8	0,2	8	1,0	8	2,6	8	47,3	8	37,2	8	0,3	8	0,2	8	0,1	8	0,3	8	2,8	8	0,0	8	0,0	8	0,0	8	0,5	8	0,1	8	3,1	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	NaN	8	2,7	
9	7,8E+2	9	7,1E+7	9	0,0	9	0,1	9	0,2	9	1,1	9	2,7	9	48,8	9	35,7	9	0,3	9	0,2	9	0,1	9	0,2	9	3,4	9	0,0	9	0,0	9	0,0	9	0,8	9	0,1	9	3,1	9	0,1	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	NaN	9	2,2	
10	7,9E+2	10	7,1E+7	10	0,0	10	0,1	10	0,2	10	1,0	10	2,5	10	44,9	10	34,5	10	0,2	10	0,1	10	0,1	10	0,4	10	4,1	10	0,0	10	0,0	10	0,0	10	0,6	10	0,0	10	2,7	10	0,1	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	NaN	10	2,1	
11	7,7E+2	11	7,1E+7	11	0,0	11	0,1	11	0,2	11	1,0	11	2,2	11	44,4	11	32,1	11	0,3	11	0,2	11	0,1	11	0,3	11	4,1	11	0,0	11	0,0	11	0,0	11	0,6	11	0,0	11	2,4	11	0,1	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	NaN	11	2,2	
12	7,7E+2	12	7,2E+7	12	0,0	12	0,1	12	0,2	12	1,0	12	2,3	12	39,7	12	29,6	12	0,3	12	0,2	12	0,1	12	0,2	12	4,4	12	0,0	12	0,0	12	0,0	12	0,6	12	0,1	12	2,1	12	0,1	12	0,0	12	0,1	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	NaN	12	2,6	
13	7,9E+2	13	7,1E+7	13	0,0	13	0,1	13	0,2	13	1,0	13	2,5	13	40,1	13	28,4	13	0,2	13	0,2	13	0,1	13	0,2	13	4,8	13	0,0	13	0,0	13	0,0	13	0,5	13	0,0	13	2,7	13	0,1	13	0,0	13	0,1	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	NaN	13	2,3	
14	7,7E+2	14	7,1E+7	14	0,0	14	0,1	14	0,2	14	1,0	14	2,5	14	37,1	14	26,9	14	0,2	14	0,1	14	0,1	14	0,2	14	4,6	14	0,0	14	0,0	14	0,0	14	0,7	14	0,1	14	2,4	14	0,1	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	NaN	14	2,5	
15	7,5E+2	15	7,4E+7	15	0,0	15	0,1	15	0,2	15	1,0	15	2,8	15	34,6	15	25,7	15	0,2	15	0,1	15	0,1	15	0,3	15	4,8	15	0,0	15	0,0	15	0,0	15	0,5	15	0,1	15	2,2	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	NaN	15	1,8	
16	7,6E+2	16	7,0E+7	16	0,0	16	0,1	16	0,2	16	1,0	16	2,4	16	35,6	16	26,1	16	0,3	16	0,1	16	0,0	16	0,2	16	4,8	16	0,0	16	0,0	16	0,0	16	0,7	16	0,1	16	2,0	16	0,1	16	0,0	16	0,1	16	0,0	16	0,0	16	0,0	16	0,0	16	0,0	16	NaN	16	2,4	
17	7,6E+2	17	7,2E+7	17	0,0	17	0,1	17	0,2	17	1,0	17	2,0	17	34,5	17	24,9	17	0,3	17	0,1	17	0,1	17	0,4	17	5,3	17	0,0	17	0,0	17	0,0	17	0,5	17	0,1	17	2,5	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	NaN	17	2,0	
18	7,6E+2	18	7,1E+7	18	0,0	18	0,1	18	0,2	18	1,3	18	10,9	18	2,9	18	4,1	18	0,1	18	0,2	18	0,1	18	0,3	18	5,2	18	0,0	18	0,0	18	0,0	18	0,7	18	0,1	18	0,2	18	0,1	18	0,0	18	0,1	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	NaN	18	2,7	
19	7,4E+2	19	7,3E+7	19	0,0	19	0,1	19	0,2	19	1,0	19	2,3	19	0,9	19	1,0	19	0,2	19	0,1	19	0,0	19	0,2	19	3,0	19	0,0	19	0,0	19	0,0	19	0,4	19	0,0	19	0,1	19	0,1	19	0,0	19	0,1	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	NaN	19	2,4	
20	7,3E+2	20	7,3E+7	20	0,0	20	0,1	20	0,2	20	1,0	20	2,2	20	0,9	20	0,9	20	0,2	20	0,2	20	0,1	20	0,2	20	1,5	20	0,0	20	0,0	20	0,0	20	0,4	20	0,1	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	NaN	20	2,7	
21	7,1E+2	21	7,4E+7	21	0,0	21	0,1	21	0,2	21	1,0	21	2,1	21	0,9	21	0,6	21	0,2	21	0,1	21	0,0	21	0,2	21	0,7	21	0,0	21	0,0	21	0,0	21	0,4	21	0,1	21	0,0	21	0,0	21	0,0	21	0,1	21	0,0	21	0,0	21	0,0	21	0,0	21	0,0	21	NaN	21	1,8	
22	7,2E+2	22	7,2E+7	22	0,0	22	0,1	22	0,2	22	1,0	22	2,8	22	0,7	22	0,7	22	0,2	22	0,2	22	0,0	22	0,2	22	0,8	22	0,0	22	0,0	22	0,0	22	0,4	22	0,1	22	0,1	22	0,0	22	0,0	22	0,1	22	0,0	22	0,0	22	0,0	22	0,0	22	0,0	22	NaN	22	2,0	
23	7,3E+2	23	7,2E+7	23	0,0	23	0,1	23	0,2	23	1,0	23	2,5	23	0,6	23	0,6	23	0,2	23	0,1	23	0,0	23	0,1	23	0,7	23	0,0	23	0,0	23	0,0	23	0,4	23	0,1	23	0,0	23	0,0	23	0,0	23	0,1	23	0,0	23	0,0	23	0,0	23	0,0	23	0,0	23	NaN	23	1,9	
24	7,1E+2	24	7,3E+7	24	0,0	24	0,1	24	0,2	24	1,0	24	2,4	24	0,7	24	0,5	24	0,2	24	0,2	24	0,0	24	0,1	24	0,3	24	0,0	24	0,0	24	0,0	24	0,3	24	0,1	24	0,1	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	NaN	24	1,9	
25	7,2E+2	25	7,3E+7	25	0,0	25	0,1	25	0,2	25	1,0	25	2,4	25	0,6	25	0,5	25	0,2	25	0,1	25	0,0	25	0,1	25	0,6	25	0,0	25	0,0	25	0,0	25	0,4	25	0,1	25	0,1	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	NaN	25	2,1	
26	7,0E+2	26	7,3E+7	26	0,0	26	0,1	26	0,2	26	1,0	26	2,4	26	0,6	26	0,4	26	0,2	26	0,1	26	0,0	26	0,1	26	0,4	26	0,0	26	0,0	26	0,0	26	0,4	26	0,2	26	0,1	26	0,0	26	0,0	26	0,0	26	0,0	26	0,0	26	0,0	26	0,0	26	0,0	26	NaN	26	1,9	
27	7,0E+2	27	7,4E+7	27	0,0	27	0,1	27	0,2	27	1,0	27	2,3	27	0,6	27	0,5	27	0,1	27	0,1	27	0,0	27	0,1	27	0,2	27	0,0	27	0,0	27	0,0	27	0,4	27	0,1	27	0,1	27	0,0	27	0,0	27	0,0	27	0,0	27	0,0	27	0,0	27	0,0	27	0,0	27	NaN	27	2,3	
28	7,0E+2	28	7,4E+7	28	0,0	28	0,1	28	0,2	28	1,0	28	2,2	28	0,7	28	0,4	28	0,2	28	0,2	28	0,0	28	0,1	28	0,3	28	0,0	28	0,0	28	0,0	28	0,3	28	0,1	28	0,1	28	0,0	28	0,0	28	0,0	28	0,0	28	0,0	28	0,0	28	0,0	28	0,0	28	NaN	28	2,3	
29	7,0E+2	29	7,4E+7	29	0,0	29	0,1	29	0,2	29	1,0	29	2,3	29	0,5	29	0,5	29	0,2	29	0,1	29	0,0	29	0,1	29	0,3	29	0,0	29	0,0	29	0,0	29	0,3	29	0,1	29	0,1	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	NaN	29	1,9	
30	7,0E+2	30	7,3E+7	30	0,0	30	0,1	30	0,2	30	1,0	30	2,4	30	0,5	30	0,5	30	0,2	30	0,1	30	0,0	30	0,1	30	0,2	30	0,0	30	0,0	30	0,0	30	0,4	30	0,1	30	0,0	30	0,0	30	0,0	30	0,1	30	0,0	30	0,0	30	0,0	30	0,0	30	0,0	30	NaN	30	2,2	
31	6,6E+2	31	7,6E+7	31	0,0	31	0,1	31	0,2	31	0,9	31	2,4	31	0,4	31	0,4	31	0,2	31	0,2	31	0,1	31	0,1	31	0,2	31	0,0	31	0,0	31	0,0	31	0,3	31	0,1	31	0,0	31	0,0	31	0,0	31	0,0	31	0,0	31	0,0	31	0,0	31	0,0	31	0,0	31	NaN	31	1,9	
32	6,7E+2	32	7,4E+7	32	0,0	32	0,1	32	0,2	32	1,0	32	2,3	32	0,4	32	0,3	32	0,2	32	0,1	32	0,0	32	0,1	32	0,2	32	0,0	32	0,0	32	0,0	32	0,3	32	0,1	32	0,1	32	0,0	32	0,0	32	0,0	32	0,0	32	0,0	32	0,0	32	0,0	32	0,0	32	NaN	32	2,5	
33	6,8E+2	33	7,3E+7	33	0,0	33	0,1	33	0,2	33	1,0	33	2,3	33	0,4	33	0,3	33	0,1	33	0,1	33	0,0	33	0,1	33	0,1	33	0,0	33	0,0	33	0,0	33	0,2	33	0,1	33	0,1	33	0,0	33	0,1	33	0,0	33	0,0	33	0,0	33	0,0	33	0,0	33	0,0	33	Inf	33	2,4	
34	6,9E+2	34	7,3E+7	34	0,0	34	0,1	34	0,2	34	1,0	34	2,4	34	0,3	34	0,4	34	0,1	34	0,1	34	0,0	34	0,1	34	0,2	34	0,0	34	0,0	34	0,0	34	0,5	34	0,0	34	0,1	34	0,0	34	0,0	34	0,0	34	0,0	34	0,0	34	0,0	34	0,0	34	0,0	34	NaN	34	2,3	
35	6,9E+2	35	7,3E+7	35	0,0	35	0,1	35	0,2	35	1,0	35	2,7	35	0,5	35	0,3	35	0,2	35	0,2	35	0,0	35	0,1	35	0,1	35	0,0	35	0,0	35	0,0	35	0,5	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	NaN	35	2,1	
36	6,8E+2	36	7,3E+7	36	0,0	36	0,1	36	0,2	36	1,0	36	2,3	36	0,6	36	0,5	36	0,1	36	0,1	36	0,1	36	0,1	36	0,2	36	0,0	36	0,0	36	0,0	36	0,3	36	0,1	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	NaN	36	2,0	
37	6,7E+2	37	7,3E+7	37	0,0	37	0,1	37	0,2	37	1,0	37	2,4	37	0,7	37	0,4	37	0,2	37	0,2	37	0,1	37	0,1	37	0,1	37	0,0	37	0,0	37	0,0	37	0,4	37	0,1	37	0,0	37	0,0	37	0,0	37	0,0	37	0,0	37	0,0	37	0,0	37	0,0	37	0,0	37	NaN	37	2,2	
38	6,7E+2	38	7,2E+7	38	0,0	38	0,1	38	0,2	38	1,0	38	2,6	38	0,5	38	0,4	38	0,2	38	0,1	38	0,0	38	0,1	38	0,2	38	0,0	38	0,0	38	0,0	38	0,5	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	NaN	38	2,5	
39	6,5E+2	39	7,3E+7	39	0,0	39	0,1	39	0,2	39	1,0	39	2,4	39	0,5	39	0,4	39	0,2	39	0,2	39	0,0	39	0,2	39	0,2	39	0,0	39	0,0	39	0,0	39	0,3	39	0,1	39	0,1	39	0,0	39	0,0	39	0,0	39	0,0	39	0,0	39	0,0	39	0,0	39	0,0	39	NaN	39	2,7	
40	6,8E+2	40	7,4E+7	40	0,0	40	0,1	40	0,2	40	1,1	40	2,5	40	0,5	40	0,9	40	0,2	40	0,2	40	0,0	40	0,2	40	0,1	40	0,0	40	0,0	40	0,0	40	0,5	40	0,1	40	0,1	40	0,0	40	0,0	40	0,0	40	0,0	40	0,0	40	0,0	40	0,0	40	0,0	40	NaN	40	7,8	
