Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	4,9E+2	0	7,0E+7	0	0,0	0	0,1	0	0,2	0	0,8	0	1,7	0	0,2	0	0,1	0	0,2	0	0,1	0	0,0	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,5	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	NaN	0	2,0	
1	5,0E+2	1	6,9E+7	1	0,0	1	0,1	1	0,2	1	0,9	1	2,0	1	0,2	1	0,1	1	0,2	1	0,1	1	0,1	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,4	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	2,1	
2	5,0E+2	2	7,0E+7	2	0,0	2	0,1	2	0,2	2	0,9	2	1,8	2	0,3	2	0,1	2	0,2	2	0,2	2	0,0	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,5	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	2,5	
3	4,8E+2	3	7,1E+7	3	0,0	3	0,1	3	0,2	3	0,8	3	2,0	3	0,2	3	0,1	3	0,2	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,3	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	1,9	
4	4,9E+2	4	7,1E+7	4	0,0	4	0,1	4	0,2	4	0,8	4	2,1	4	0,3	4	0,1	4	0,1	4	0,1	4	0,1	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,4	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	NaN	4	1,7	
5	4,8E+2	5	7,1E+7	5	0,0	5	0,1	5	0,2	5	0,8	5	1,9	5	0,3	5	0,2	5	0,3	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,4	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	NaN	5	2,3	
6	4,7E+2	6	7,4E+7	6	0,0	6	0,1	6	0,2	6	1,4	6	7,8	6	14,5	6	1,2E+2	6	1,2	6	0,3	6	0,0	6	0,2	6	0,1	6	0,0	6	0,0	6	0,0	6	0,5	6	0,1	6	9,4	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	NaN	6	2,8	
7	4,9E+2	7	7,4E+7	7	0,0	7	0,1	7	0,2	7	1,0	7	2,2	7	12,1	7	1,2E+2	7	1,1	7	0,3	7	0,0	7	0,3	7	1,8	7	0,0	7	0,0	7	0,0	7	0,6	7	0,1	7	9,6	7	0,1	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	NaN	7	2,4	
8	5,0E+2	8	7,1E+7	8	0,0	8	0,1	8	0,2	8	1,0	8	2,3	8	12,0	8	1,1E+2	8	1,1	8	0,2	8	0,1	8	0,4	8	5,4	8	0,0	8	0,0	8	0,0	8	0,8	8	0,1	8	10,1	8	0,1	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	NaN	8	2,6	
9	4,9E+2	9	7,3E+7	9	0,0	9	0,1	9	0,2	9	1,0	9	2,1	9	10,9	9	98,0	9	1,0	9	0,3	9	0,2	9	0,2	9	7,1	9	0,0	9	0,0	9	0,0	9	0,7	9	0,0	9	8,2	9	0,1	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	Inf	9	2,1	
10	4,8E+2	10	7,4E+7	10	0,0	10	0,1	10	0,2	10	0,9	10	1,8	10	9,8	10	91,3	10	1,1	10	0,2	10	0,2	10	0,2	10	7,9	10	0,0	10	0,0	10	0,0	10	0,6	10	0,1	10	8,1	10	0,1	10	0,0	10	0,1	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	NaN	10	1,9	
11	4,8E+2	11	7,2E+7	11	0,0	11	0,1	11	0,2	11	1,0	11	2,0	11	9,9	11	90,1	11	0,8	11	0,2	11	0,1	11	0,3	11	8,5	11	0,0	11	0,0	11	0,0	11	0,6	11	0,2	11	7,1	11	0,1	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	NaN	11	2,4	
12	4,9E+2	12	7,1E+7	12	0,0	12	0,1	12	0,2	12	1,0	12	2,4	12	9,4	12	88,1	12	0,9	12	0,2	12	0,1	12	0,4	12	8,3	12	0,0	12	0,0	12	0,0	12	0,7	12	0,1	12	8,1	12	0,0	12	0,0	12	0,1	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	NaN	12	1,9	
13	5,0E+2	13	7,2E+7	13	0,0	13	0,1	13	0,2	13	1,0	13	1,8	13	9,6	13	85,7	13	1,2	13	0,2	13	0,1	13	0,3	13	8,5	13	0,0	13	0,0	13	0,0	13	0,5	13	0,1	13	7,3	13	0,1	13	0,0	13	0,1	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	NaN	13	2,0	
14	4,7E+2	14	7,4E+7	14	0,0	14	0,1	14	0,2	14	1,0	14	2,2	14	9,7	14	79,2	14	1,0	14	0,2	14	0,1	14	0,3	14	8,3	14	0,0	14	0,0	14	0,0	14	0,7	14	0,1	14	6,8	14	0,2	14	0,0	14	0,1	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	NaN	14	2,0	
15	4,9E+2	15	7,3E+7	15	0,0	15	0,1	15	0,2	15	1,0	15	2,2	15	9,2	15	78,1	15	1,1	15	0,3	15	0,2	15	0,2	15	8,6	15	0,0	15	0,0	15	0,0	15	0,7	15	0,0	15	6,9	15	0,1	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	NaN	15	2,2	
16	4,9E+2	16	7,1E+7	16	0,0	16	0,1	16	0,2	16	1,0	16	2,4	16	9,3	16	78,9	16	0,9	16	0,3	16	0,2	16	0,3	16	9,0	16	0,0	16	0,0	16	0,0	16	0,7	16	0,1	16	6,9	16	0,2	16	0,1	16	0,1	16	0,0	16	0,0	16	0,0	16	0,0	16	0,0	16	NaN	16	2,2	
17	5,0E+2	17	7,2E+7	17	0,0	17	0,1	17	0,2	17	1,0	17	2,0	17	9,1	17	73,9	17	1,2	17	0,2	17	0,1	17	0,3	17	8,5	17	0,0	17	0,0	17	0,0	17	0,7	17	0,1	17	6,5	17	0,1	17	0,0	17	0,1	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	NaN	17	2,3	
18	4,7E+2	18	7,4E+7	18	0,0	18	0,1	18	0,2	18	0,9	18	2,2	18	8,3	18	71,2	18	0,8	18	0,2	18	0,1	18	0,2	18	8,4	18	0,0	18	0,0	18	0,0	18	0,6	18	0,0	18	6,6	18	0,1	18	0,0	18	0,1	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	NaN	18	1,6	
19	4,8E+2	19	7,3E+7	19	0,0	19	0,1	19	0,2	19	0,9	19	2,0	19	9,4	19	70,0	19	0,9	19	0,2	19	0,2	19	0,2	19	7,9	19	0,0	19	0,0	19	0,0	19	0,6	19	0,0	19	6,0	19	0,1	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	NaN	19	2,1	
20	4,8E+2	20	7,3E+7	20	0,0	20	0,1	20	0,2	20	0,9	20	2,0	20	9,3	20	67,9	20	1,0	20	0,4	20	0,1	20	0,4	20	8,6	20	0,0	20	0,0	20	0,0	20	0,7	20	0,1	20	5,5	20	0,1	20	0,0	20	0,1	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	NaN	20	2,1	
21	4,7E+2	21	7,5E+7	21	0,0	21	0,1	21	0,2	21	0,9	21	1,9	21	8,8	21	64,6	21	1,0	21	0,2	21	0,1	21	0,3	21	8,5	21	0,0	21	0,0	21	0,0	21	0,6	21	0,1	21	5,4	21	0,1	21	0,0	21	0,1	21	0,0	21	0,0	21	0,0	21	0,0	21	0,0	21	NaN	21	2,2	
