Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	4,1E+2	0	6,7E+7	0	0,0	0	0,1	0	0,2	0	0,8	0	2,1	0	0,3	0	0,1	0	0,1	0	0,1	0	0,0	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,3	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	NaN	0	2,0	
1	4,3E+2	1	6,9E+7	1	0,0	1	0,1	1	0,2	1	0,8	1	1,9	1	0,3	1	0,0	1	0,2	1	0,1	1	0,1	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,4	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	1,9	
2	4,4E+2	2	6,7E+7	2	0,0	2	0,1	2	0,2	2	0,8	2	2,3	2	0,3	2	0,2	2	0,2	2	0,1	2	0,0	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,5	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	2,0	
3	4,2E+2	3	7,0E+7	3	0,0	3	0,1	3	0,2	3	0,8	3	1,8	3	0,3	3	0,1	3	0,2	3	0,1	3	0,1	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,3	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	1,7	
4	4,3E+2	4	6,8E+7	4	0,0	4	0,1	4	0,2	4	0,8	4	2,2	4	0,3	4	0,1	4	0,2	4	0,1	4	0,0	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,5	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	NaN	4	1,8	
5	4,2E+2	5	7,2E+7	5	0,0	5	0,1	5	0,2	5	0,8	5	2,3	5	0,2	5	0,1	5	0,2	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,2	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	NaN	5	2,3	
6	4,3E+2	6	7,0E+7	6	0,0	6	0,1	6	0,2	6	0,8	6	2,1	6	0,2	6	0,2	6	0,1	6	0,1	6	0,0	6	0,1	6	0,0	6	0,0	6	0,0	6	0,0	6	0,3	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	NaN	6	2,1	
7	4,4E+2	7	6,9E+7	7	0,0	7	0,1	7	0,2	7	2,0	7	11,9	7	0,5	7	1,0	7	0,3	7	0,1	7	0,0	7	0,1	7	0,1	7	0,0	7	0,0	7	0,0	7	0,6	7	0,1	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	NaN	7	3,7	
8	4,4E+2	8	7,1E+7	8	0,0	8	0,1	8	0,2	8	1,0	8	2,3	8	0,2	8	0,4	8	0,2	8	0,1	8	0,0	8	0,1	8	0,0	8	0,0	8	0,0	8	0,0	8	0,3	8	0,1	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	NaN	8	2,1	
9	4,3E+2	9	7,0E+7	9	0,0	9	0,1	9	0,2	9	1,0	9	2,0	9	0,3	9	0,4	9	0,0	9	0,2	9	0,0	9	0,1	9	0,1	9	0,0	9	0,0	9	0,0	9	0,5	9	0,1	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	Inf	9	2,2	
