Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	1,1E+3	0	6,6E+7	0	0,0	0	0,1	0	0,2	0	1,1	0	2,6	0	0,3	0	0,1	0	0,3	0	0,1	0	0,1	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,4	0	0,2	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	NaN	0	3,3	
1	1,1E+3	1	6,7E+7	1	0,0	1	0,1	1	0,2	1	1,0	1	2,5	1	0,2	1	0,1	1	0,3	1	0,2	1	0,0	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,3	1	0,1	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	2,4	
2	1,1E+3	2	6,6E+7	2	0,0	2	0,1	2	0,2	2	1,1	2	3,2	2	0,3	2	0,2	2	0,2	2	0,2	2	0,1	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,4	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	3,0	
3	1,1E+3	3	6,8E+7	3	0,0	3	0,1	3	0,2	3	1,1	3	2,8	3	0,2	3	0,1	3	0,1	3	0,2	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,3	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	3,0	
4	1,1E+3	4	6,9E+7	4	0,0	4	0,1	4	0,2	4	1,0	4	2,7	4	0,4	4	0,1	4	0,4	4	0,1	4	0,1	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,5	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	NaN	4	2,9	
5	1,1E+3	5	6,8E+7	5	0,0	5	0,1	5	0,2	5	1,0	5	2,6	5	0,3	5	0,1	5	0,2	5	0,2	5	0,1	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,5	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	NaN	5	2,6	
6	1,1E+3	6	6,8E+7	6	0,0	6	0,1	6	0,2	6	1,0	6	2,4	6	0,4	6	0,1	6	0,2	6	0,2	6	0,1	6	0,1	6	0,0	6	0,0	6	0,0	6	0,0	6	0,4	6	0,1	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	NaN	6	2,7	
7	1,1E+3	7	6,7E+7	7	0,0	7	0,1	7	0,2	7	1,1	7	2,8	7	0,3	7	0,1	7	0,3	7	0,2	7	0,0	7	0,1	7	0,0	7	0,0	7	0,0	7	0,0	7	2,0	7	0,1	7	32,6	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	NaN	7	9,5	
8	1,0E+3	8	7,2E+7	8	0,0	8	0,1	8	0,2	8	1,6	8	6,0	8	2,8E+2	8	3,3E+2	8	25,1	8	0,8	8	0,0	8	0,7	8	1,7	8	0,0	8	0,0	8	0,0	8	1,5	8	0,1	8	22,8	8	0,1	8	0,0	8	0,0	8	0,0	8	0,1	8	0,0	8	0,0	8	0,0	8	NaN	8	4,1	
9	1,0E+3	9	7,0E+7	9	0,0	9	0,1	9	0,2	9	1,4	9	3,6	9	1,6E+2	9	2,2E+2	9	15,9	9	0,5	9	0,1	9	0,6	9	7,5	9	0,0	9	0,0	9	0,0	9	1,1	9	0,1	9	18,1	9	0,1	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	NaN	9	3,4	
10	1,0E+3	10	7,1E+7	10	0,0	10	0,1	10	0,2	10	1,3	10	3,3	10	1,5E+2	10	2,0E+2	10	15,7	10	0,7	10	0,1	10	0,5	10	9,4	10	0,0	10	0,0	10	0,0	10	1,1	10	0,1	10	17,1	10	0,2	10	0,0	10	0,0	10	0,0	10	0,1	10	0,0	10	0,0	10	0,0	10	NaN	10	3,9	
11	9,9E+2	11	7,2E+7	11	0,0	11	0,1	11	0,2	11	1,3	11	3,4	11	1,4E+2	11	1,8E+2	11	15,1	11	0,5	11	0,1	11	0,4	11	10,4	11	0,0	11	0,0	11	0,0	11	1,3	11	0,1	11	15,4	11	0,1	11	0,0	11	0,0	11	0,0	11	0,1	11	0,0	11	0,0	11	0,0	11	NaN	11	3,3	
12	1,0E+3	12	7,1E+7	12	0,0	12	0,1	12	0,2	12	1,3	12	2,8	12	1,4E+2	12	1,8E+2	12	14,8	12	0,5	12	0,1	12	0,3	12	11,4	12	0,0	12	0,0	12	0,0	12	0,9	12	0,1	12	15,4	12	0,1	12	0,1	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	NaN	12	3,1	
13	1,0E+3	13	7,2E+7	13	0,0	13	0,1	13	0,2	13	1,3	13	2,9	13	1,3E+2	13	1,7E+2	13	13,9	13	0,5	13	0,1	13	0,4	13	10,6	13	0,0	13	0,0	13	0,0	13	1,3	13	0,1	13	15,3	13	0,1	13	0,0	13	0,1	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	NaN	13	3,0	
14	9,8E+2	14	7,3E+7	14	0,0	14	0,1	14	0,2	14	1,3	14	2,9	14	1,3E+2	14	1,7E+2	14	13,6	14	0,4	14	0,2	14	0,5	14	11,2	14	0,0	14	0,0	14	0,0	14	1,1	14	0,1	14	15,1	14	0,1	14	0,0	14	0,1	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	NaN	14	3,4	
15	9,7E+2	15	7,3E+7	15	0,0	15	0,1	15	0,2	15	1,3	15	3,0	15	1,3E+2	15	1,6E+2	15	12,9	15	0,4	15	0,1	15	0,5	15	10,9	15	0,0	15	0,0	15	0,0	15	0,9	15	0,0	15	14,8	15	0,1	15	0,0	15	0,1	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	NaN	15	2,9	
16	9,6E+2	16	7,3E+7	16	0,0	16	0,1	16	0,2	16	1,3	16	2,6	16	1,3E+2	16	1,6E+2	16	13,4	16	0,5	16	0,2	16	0,3	16	11,0	16	0,0	16	0,0	16	0,0	16	0,9	16	0,1	16	13,2	16	0,2	16	0,0	16	0,1	16	0,0	16	0,0	16	0,0	16	0,0	16	0,0	16	NaN	16	3,2	
