Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	2,0E+3	0	6,4E+7	0	0,0	0	0,1	0	0,2	0	1,2	0	2,5	0	0,4	0	0,2	0	0,2	0	0,2	0	0,1	0	0,1	0	0,1	0	0,0	0	0,0	0	0,0	0	0,4	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	NaN	0	2,7	
1	2,0E+3	1	6,7E+7	1	0,0	1	0,1	1	0,2	1	1,1	1	2,9	1	0,4	1	0,2	1	0,2	1	0,2	1	0,0	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,4	1	0,1	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	2,4	
2	1,9E+3	2	6,7E+7	2	0,0	2	0,1	2	0,2	2	1,1	2	2,5	2	0,4	2	0,2	2	0,2	2	0,1	2	0,0	2	0,2	2	0,0	2	0,0	2	0,0	2	0,0	2	0,4	2	0,2	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	2,8	
3	1,9E+3	3	6,7E+7	3	0,0	3	0,1	3	0,2	3	1,1	3	2,4	3	0,4	3	0,2	3	0,2	3	0,2	3	0,1	3	0,2	3	0,0	3	0,0	3	0,0	3	0,0	3	0,5	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	2,5	
4	1,9E+3	4	6,8E+7	4	0,0	4	0,1	4	0,2	4	1,1	4	2,7	4	0,3	4	0,2	4	0,2	4	0,1	4	0,0	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,5	4	0,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	NaN	4	2,9	
5	1,8E+3	5	6,9E+7	5	0,0	5	0,1	5	0,2	5	1,1	5	3,0	5	0,3	5	0,2	5	0,2	5	0,1	5	0,1	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,3	5	0,1	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	NaN	5	9,9	
6	1,9E+3	6	7,0E+7	6	0,0	6	0,1	6	0,2	6	1,5	6	4,1	6	86,6	6	64,3	6	0,5	6	0,2	6	0,1	6	0,7	6	0,3	6	0,0	6	0,0	6	0,0	6	0,8	6	0,1	6	5,2	6	0,1	6	0,0	6	0,1	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	NaN	6	2,8	
7	1,9E+3	7	6,8E+7	7	0,0	7	0,1	7	0,2	7	1,2	7	2,6	7	46,6	7	49,7	7	0,5	7	0,2	7	0,1	7	0,7	7	2,1	7	0,0	7	0,0	7	0,0	7	0,9	7	0,1	7	3,8	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	NaN	7	2,3	
8	1,8E+3	8	6,9E+7	8	0,0	8	0,1	8	0,2	8	1,2	8	3,0	8	40,5	8	43,7	8	0,3	8	0,2	8	0,1	8	0,7	8	3,6	8	0,0	8	0,0	8	0,0	8	0,8	8	0,1	8	3,7	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	NaN	8	2,1	
9	1,8E+3	9	6,9E+7	9	0,0	9	0,1	9	0,2	9	1,2	9	2,7	9	39,0	9	41,1	9	0,4	9	0,3	9	0,1	9	0,7	9	4,5	9	0,0	9	0,0	9	0,0	9	0,8	9	0,1	9	3,7	9	0,1	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	NaN	9	2,4	
10	1,8E+3	10	7,0E+7	10	0,0	10	0,1	10	0,2	10	1,2	10	2,5	10	34,7	10	37,5	10	0,3	10	0,2	10	0,1	10	0,6	10	4,5	10	0,0	10	0,0	10	0,0	10	0,6	10	0,0	10	3,1	10	0,1	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	Inf	10	2,8	
11	1,8E+3	11	6,9E+7	11	0,0	11	0,1	11	0,2	11	1,2	11	2,7	11	34,5	11	37,0	11	0,4	11	0,1	11	0,1	11	0,7	11	4,8	11	0,0	11	0,0	11	0,0	11	0,7	11	0,1	11	2,8	11	0,1	11	0,0	11	0,1	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	NaN	11	2,3	
12	1,7E+3	12	7,1E+7	12	0,0	12	0,1	12	0,2	12	1,1	12	2,3	12	32,8	12	32,8	12	0,2	12	0,2	12	0,1	12	0,5	12	4,9	12	0,0	12	0,0	12	0,0	12	0,7	12	0,1	12	2,7	12	0,1	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	Inf	12	2,3	
13	1,8E+3	13	6,9E+7	13	0,0	13	0,1	13	0,2	13	1,2	13	2,4	13	31,4	13	30,2	13	0,3	13	0,2	13	0,1	13	0,7	13	5,0	13	0,0	13	0,0	13	0,0	13	0,6	13	0,1	13	3,1	13	0,1	13	0,0	13	0,1	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	NaN	13	2,1	
14	1,7E+3	14	7,1E+7	14	0,0	14	0,1	14	0,2	14	1,1	14	2,5	14	29,4	14	29,7	14	0,4	14	0,2	14	0,1	14	0,5	14	5,0	14	0,0	14	0,0	14	0,0	14	0,6	14	0,1	14	2,9	14	0,1	14	0,0	14	0,1	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	NaN	14	2,5	
15	1,7E+3	15	7,0E+7	15	0,0	15	0,1	15	0,2	15	1,1	15	2,9	15	30,1	15	28,0	15	0,4	15	0,2	15	0,1	15	0,7	15	4,7	15	0,0	15	0,0	15	0,0	15	0,4	15	0,1	15	2,7	15	0,1	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	NaN	15	2,6	
16	1,6E+3	16	7,1E+7	16	0,0	16	0,1	16	0,2	16	1,1	16	2,5	16	28,0	16	26,9	16	0,3	16	0,1	16	0,1	16	0,6	16	5,0	16	0,0	16	0,0	16	0,0	16	0,9	16	0,2	16	2,5	16	0,1	16	0,0	16	0,1	16	0,0	16	0,0	16	0,0	16	0,0	16	0,0	16	NaN	16	2,1	
17	1,6E+3	17	7,1E+7	17	0,0	17	0,1	17	0,2	17	1,1	17	2,4	17	27,3	17	25,2	17	0,3	17	0,1	17	0,0	17	0,5	17	5,2	17	0,0	17	0,0	17	0,0	17	0,6	17	0,1	17	2,4	17	0,1	17	0,0	17	0,1	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	NaN	17	2,5	
18	1,6E+3	18	7,0E+7	18	0,0	18	0,1	18	0,2	18	1,1	18	2,9	18	27,1	18	25,8	18	0,4	18	0,2	18	0,1	18	0,7	18	4,6	18	0,0	18	0,0	18	0,0	18	0,6	18	0,1	18	2,6	18	0,0	18	0,0	18	0,1	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	NaN	18	3,0	
19	1,6E+3	19	7,0E+7	19	0,0	19	0,1	19	0,2	19	1,1	19	2,5	19	27,7	19	25,4	19	0,3	19	0,1	19	0,1	19	0,4	19	5,0	19	0,0	19	0,0	19	0,0	19	0,6	19	0,1	19	2,3	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	NaN	19	2,3	
20	1,6E+3	20	6,9E+7	20	0,0	20	0,1	20	0,2	20	1,1	20	2,7	20	25,8	20	24,6	20	0,2	20	0,2	20	0,1	20	0,6	20	5,0	20	0,0	20	0,0	20	0,0	20	0,7	20	0,1	20	2,2	20	0,1	20	0,0	20	0,1	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	NaN	20	3,3	
